langue,outil,categorie,url,statut
fr,L'homme a mangé la terre (arte),Urgence Climatique,https://www.arte.tv/fr/videos/073938-000-A/l-homme-a-mange-la-terre/,404
fr,Adelia,Back-End,http://www.adel-label.com/livre-blanc/,ERR:gaierror
fr,Transalgo,Back-End,https://www.transalgo.org/,ERR:gaierror
fr,Audit rgaa,Front-End,https://www.numerique.gouv.fr/publications/rgaa-accessibilite/kit/#contenu,404
fr,Darkpatterns,Front-End,https://www.darkpatterns.org/index.html,404
fr,E-parcours transition energétique et ecologique,MOOC,https://www.bpifrance-universite.fr/formations/responsabilite-societale-des-entreprises/e-parcours-transition-energetique-et-ecologique/,404
fr,Humanités numériques responsables,MOOC,http://www.sup-numerique.gouv.fr/pid33288/moteur-des-ressources-pedagogiques.html?ressourceUrl=http%3A%2F%2Fwww.sup-numerique.gouv.fr%2Fressources-pedagogiques%2Fnotice%2Fview%2Foai%25253Acanal-u.fr%25253A19273?xtmc=numerique_responsable&xtnp=1&xtcr=undefi,ERR:gaierror
fr,Grande ecole du numérique,MOOC,https://www.grandeecolenumerique.fr/,"ERR:gaierror:[Errno 8] nodename nor servname provided, or not known"
fr,Charte nr,Référence,https://charte.institutnr.org/wp-content/uploads/2020/10/charte-inr-numerique-responsable.pdf,404
fr,Clickclean,Référence,http://www.clickclean.org/,404
fr,Corser,Référence,https://sustainabledesign.isit-europe.org/,404
fr,Google accessibilty on android,Référence,https://support.google.com/accessibility/android/answer/6006564?hl=fr,404
fr,Green patterns,Référence,https://livrels.fr/Ordinateur/Logiciels%20%C3%A9co-con%C3%A7us.pdf,404
fr,Gta22 livre blanc mobile,Référence,https://www.accessiweb.org/tl_files/doc_telechargement/gta22/GTA22_LivreBlanc_Mobile_v1.3.pdf,ERR:gaierror
fr,Les kpi des datacenter,Référence,https://alliancegreenit.org/2017-les-kpi-des-datacenters,404
fr,Manuel d'écriture inclusive,Référence,https://static1.squarespace.com/static/5e441b2fb746a7235f25667e/t/5e7d1cfc03a13b4fe2f01c17/1585257726011/Mots-Cl%C3%A9s+-+Manuel+d%27%C3%A9criture+inclusive.pdf,404
fr,Serment d'hippocrate pour data scientist,Référence,https://hippocrate.tech,ERR:gaierror
fr,Fiches pratiques nr,Référence,https://www.spn.asso.fr/zoom-sur/decouvrez-nos-fiches-srn-les-bonnes-pratiques/,"ERR:gaierror:[Errno 8] nodename nor servname provided, or not known"
fr,Climatomètre,Stratégie,https://climatometre.bpifrance.fr/#/home,"ERR:gaierror:[Errno 8] nodename nor servname provided, or not known"
fr,Earthsmart,Stratégie,https://www.earthshiftglobal.com/software/earthsmart-lca-software,404
fr,Eime,Stratégie,https://codde.fr/nos-logiciels/presentation-eime,404
fr,Gabi 4,Stratégie,http://www.gabi-software.com/france/index/,ERR:gaierror
fr,Wenr,Stratégie,https://wenr.isit-europe.org/fr/wenr-2021/,404
fr,Calculatrice bilan carbone octo,Stratégie,https://docs.google.com/spreadsheets/d/1EvHHW-sFHhIIjgoJob-0grLglmfJlSXx/edit#gid=1383163911,410
fr,Rgs,Transverse,https://www.ssi.gouv.fr/entreprise/reglementation/confiance-numerique/le-referentiel-general-de-securite-rgs/,404
fr,Calculateur gr491,Transverse,https://conformite-nr.specinov.fr/,"ERR:gaierror:[Errno 8] nodename nor servname provided, or not known"
fr,Dark pattern,Ux/Ui,https://linc.cnil.fr/sites/default/files/atoms/files/190903-topography.pdf,404
